Company,Founder/CEO,Approx no. Employees,Change In Rank,Years on Fortune 500,BW logo URL,White on Black,Theme color,Theme Image
Phillips 66,"Brothers Frank, L.E. Phillips, Mark Lashier","13,000",37,11,https://4vector.com/i/free-vector-phillips66-logo_090389_Phillips66_logo.png,,,
Sinochem Holdings,Mr. Jiao,"223,448",-7,2,https://media.licdn.com/dms/image/C560BAQE2VgNiKflAWw/company-logo_200_200/0/1630639979601/_logo?e=2147483647&v=beta&t=BsLarxAeS_7ksY_eA3ZWpc4O5CkczUn4vledWJW4zZI,,,
China Railway Engineering Group,Robert M. Glickmann,"314,792",-5,9,https://media.licdn.com/dms/image/C4E0BAQGaG2QGbksZpQ/company-logo_200_200/0/1630639557920/china_railway_group_limited_logo?e=2147483647&v=beta&t=HF_WuVUGZTlPWrGn0XHNwp1fxVgQzbHEdRvqR5VVTLk,,,
Valero Energy,"William Greehey, Lane Riggs","9,743",42,23,https://logosandtypes.com/wp-content/uploads/2020/08/Valero-Energy.png,,,
Gazprom,Alexey Miller,"468,000",11,27,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Gazprom-Logo.svg/1200px-Gazprom-Logo.svg.png,,,
China National Offshore Oil,Li Fanrong,"81,775",23,17,https://mma.prnewswire.com/media/2051221/CNOOC_Logo_Logo.jpg?p=twitter,,,
China Railway Construction,Robert M. Glickmann,"342,098",-4,12,https://upload.wikimedia.org/wikipedia/en/9/94/Crcc_china_logo.png,,,
China Baowu Steel Group,Chen Derong,"245,675",–,20,https://ceowatermandate.org/wp-content/uploads/2018/11/baowu-logo.jpg,,,
Mitsubishi,"Yataro Iwasaki, Takao Kato","79,706",-4,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1UhIIi8vUH3GqJM3bwXfKbin4VilnZMTHjQ&s,,,
Ford Motor,"Henry Ford (deceased), Jim Farley","173,000",7,29,https://cdn.iconscout.com/icon/free/png-256/free-ford-3215404-2673822.png?f=webp&w=256,,,
Mercedes-Benz Group,Ola Källenius,"168,797",-9,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvRKKLUkCpL_SvSDsPNjea7cjYOgbL9YREDQ&s,,,
Home Depot,"Bernard Marcus, Ted Decker","471,600",-5,29,https://media.designrush.com/inspiration_images/134928/conversions/_1508165135_16_Home-Depot-emblem-mobile.jpg,,,
Bank of China,"Chen Jintao, Liu Liange","306,182",-7,29,https://seeklogo.com/images/B/bank-of-china-limited-logo-AE2D6559AA-seeklogo.com.png,,,
General Motors,"William C. Durant (deceased), Mary Barra","167,000",14,29,https://www.factoriesinspace.com/img/thumb2/thumbnail_GM-logo-2021.jpg,,,
Elevance Health,Gail Boudreaux,"102,300",-1,22,https://1000logos.net/wp-content/uploads/2023/02/Elevance-Health-logo.png,,,
JD.com,"Richard Liu Qiangdong, Richard Liu Qiangdong","450,679",-6,8,https://seeklogo.com/images/J/jd-logo-3811E3BE5A-seeklogo.com.png,,,
JPMorgan Chase,"J. Pierpont Morgan, Jamie Dimon","293,723",10,29,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Logo_of_JPMorganChase_2024.svg/440px-Logo_of_JPMorganChase_2024.svg.png,,,
China Life Insurance,Dairen Lin,"180,619",-14,21,https://cdn.logoeps.net/wp-content/uploads/2012/03/china-life-insurance-logo.jpg,,,
Electricité de France,Luc Rémont,"165,028",40,29,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/%C3%89lectricit%C3%A9_de_France_logo.svg/440px-%C3%89lectricit%C3%A9_de_France_logo.svg.png,,,
Equinor,Anders Opedal,"21,936",58,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjiLIKAKJIXQjYlIOFOP1-CdmMECNAweqGtjlN-WphTNuGLpc6mIa85S3ZRWqo8h1fSCk&usqp=CAU,,,
BMW,"Carl Rapp, Oliver Zipse","149,475",2,29,https://www.destroyordie.com/cdn/shop/collections/Black_Square_1200x1200.jpg?v=1626184768,TRUE,,
Kroger,"Bernard Kroger (deceased),Rodney McMullen","430,000",-7,29,https://www.thekrogerco.com/wp-content/uploads/2019/11/kroger-logo-white-small.png,TRUE,,
Enel,Flavio Cattaneo,"65,124",31,29,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Enel_Group_logo.svg/400px-Enel_Group_logo.svg.png,,,
Centene,SARAH M. LONDON,"74,300",6,8,https://1000logos.net/wp-content/uploads/2021/07/Centene-Logo.jpg,,,
ENI,"Enrico Mattei, Claudio Descalzi","32,188",50,29,https://thumbs.dreamstime.com/b/eni-logo-eni-logo-station-vector-format-available-ai-petrol-pump-gas-station-petrol-station-134361242.jpg,,,
China Mobile Communications,Mr. Dong Xin,"452,202",-5,23,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTcG0UM_eje6OaJ104Oq-R-fhGCvDstNIWxymCSfBqLtoc8hcts,,,
China Communications Construction,Liu Qitao,"221,017",-3,16,https://www.jobnet.com.mm/image/o9SXyF4kPWv_4nhtaCnNLF7UNW_ctaPmBHa0DH2NGgcsoLPKz_sIDdzLc5VKicjN-WRbZP1p5P8=,,,
Verizon Communications,Hans Vestberg,"117,100",-10,29,https://logos-world.net/wp-content/uploads/2020/10/Verizon-Emblem.png,,,
China Minmetals,Mr Liangang Li,"183,298",-7,17,https://imgqn.smm.cn/production/admin/company/GxWcD20210416162751.png,,,
Walgreens Boots Alliance,Tim Wentworth,"262,500",-21,29,https://www.boots-uk.com/media/5681/wba-logo.png,,,
Allianz,"Carl von Thieme, Oliver Bäte","159,253",-20,29,https://thecitylifer.com/blog/wp-content/uploads/sites/4/2022/11/Allianz-Logo-Black-Small.png,,,
Alibaba Group Holding,"Jack Ma, Joseph Tsai, Eddie Wu","235,216",-13,7,https://www.svgrepo.com/show/473521/alibaba.svg,,,
Xiamen C&D,Zhang Jianhong,"40,959",8,7,https://www.cndlogistics.com/templates/dist/img/l-bg.png,TRUE,,
Honda Motor,"Soichiro Honda (deceased), Toshihiro Mibe","197,039",-9,29,https://static.vecteezy.com/system/resources/thumbnails/020/499/857/small_2x/honda-logo-brand-symbol-black-design-japan-car-automobile-illustration-free-vector.jpg,,,
Petrobras,Jean Paul Prates,"45,149",57,29,https://cdn.freebiesupply.com/logos/large/2x/petrobras-6-logo-png-transparent.png,,,
Shandong Energy Group,Li Wei,"232,841",-3,6,"https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/876c31aff750068fafa4",,,
E.ON,Leonhard Birnbaum,"69,378",39,29,https://felipe-design.de/wp-content/uploads/2019/05/felipe_design_customers_logo_eon.jpg,,,
China Resources,Mr. Wang,"379,944",-4,14,https://chinaconnect.be/wp-content/uploads/china-connect-logo-huarun.png,,,
Fannie Mae,Priscilla Almodovar,"8,000",18,26,https://cdn.worldvectorlogo.com/logos/fannie-mae.svg,,,
China Energy Investment,Wang Xiangxi,"310,753",9,14,https://www.zoeess.com/static/img/about/partbg3.png,,,
Comcast,"Ralph J. Roberts (deceased), Brian L. Roberts","186,000",-4,21,https://i.pinimg.com/originals/6a/db/d3/6adbd3ff5b21bf275028eae71db288aa.jpg,,,
AT&T,"Alexander Graham Bell (deceased), John Stankey","160,700",-46,29,https://generatoricon.com/_next/image/?url=https%3A%2F%2Fstorage.googleapis.com%2Ficon_svgs%2Fphotos%2Ftech-brand-logos-mo%2Fat-and-t_341622.png&w=1080&q=75,,,
Deutsche Telekom,Timotheus Höttges,"206,759",-17,29,https://cdn.worldvectorlogo.com/logos/telekom.svg,,,
Pemex,"Lázaro Cárdenas, Octavio Romero Oropeza","120,054",86,29,https://www.tseoil.com/wp-content/uploads/2019/03/pemex.png,TRUE,,
Meta Platforms,"Mark Zuckerberg, Andrew McCollum, Mark Zuckerberg","86,482",-10,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNFVb4EWIOdxt5ezypYf6Xbjzj-xl69UkLZQ&s,,,
Bank of America,"Amadeo Peter Giannini, Brian Moynihan","216,823",23,29,https://www.bankofamerica.com/homepage/spa-assets/images/assets-images-global-favicon-safari-pinned-tab-CSX1aebeef6.svg,,,
China Southern Power Grid,Meng Zhenping,"271,202",6,19,https://pbs.twimg.com/profile_images/1697532563173392384/d71IAupW_400x400.png,,,
SAIC Motor,Chen Hong,"154,863",-16,12,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/SAIC_Motor.svg/260px-SAIC_Motor.svg.png,,,
Hyundai Motor,"Chung Ju-Yung, Jung Eui-sun","72,689",7,28,https://www.freepnglogos.com/uploads/hyundai-logo-17.jpg,,,
China Post Group,Billy Chan,"752,547",-5,13,https://icons.veryicon.com/png/o/miscellaneous/common-logo-collection/china-post-2.png,,,
COFCO,David Dong,"103,537",4,29,https://play-lh.googleusercontent.com/QvTmwkdEpAiUE5SNVIrQ8CF2dKOQr9aysfr-8I0UT0T9NBEsOu6e8CE7q-z0B_VScyA=w600-h300-pc0xffffff-pd,,,
Reliance Industries,"Dhirubhai Ambani (deceased), Mukesh Ambani","376,000",16,20,https://www.iconarchive.com/download/i150767/simpleicons-team/simple/relianceindustrieslimited.1024.png,,,
Engie,Catherine MacGregor,"96,454",41,28,https://www.moon-event.fr/wp-content/uploads/2021/01/engie-noir.png,,,
Target,"George D. Dayton (deceased), Brian Cornell","440,000",-3,29,https://corporate.target.com/getmedia/42c10f72-913d-4198-a8c2-8c4f01721928/Target_Bullseye-Logo_Black_transparent.png,,,
AXA,"Claude Bébéar, Thomas Buberl","90,443",-43,29,https://1000logos.net/wp-content/uploads/2017/12/Axa-Logo-1985.png,,,
SK,Chey Tae-won,"124,499",25,8,https://companieslogo.com/img/orig/SKM.D-c992a8ff.png?t=1720244493,TRUE,,
Mitsui,"Mitsui Takatoshi, Kenichi Hori","46,811",-5,29,https://upload.wikimedia.org/wikipedia/commons/2/2e/MITSUI2.png,,,
Indian Oil,S. M. Vaidya,"32,791",48,29,https://www.svgrepo.com/show/517043/indianoil-one.svg,,,
Xiamen ITG Holding Group,Xu Xiaoxi.,"32,856",11,7,https://southernacegroup.com/wp-content/uploads/2023/06/itg-resources-logo.jpg,,,
Itochu,"Chubei Itoh, Masahiro Okafuj","133,051",-18,29,https://companieslogo.com/img/orig/8001.T.D-218425a1.png?t=1720244490,TRUE,,
Dell Technologies,"Michael Dell, Michael Dell","133,000",-11,23,https://static.vecteezy.com/system/resources/previews/021/514/860/non_2x/dell-logo-brand-computer-symbol-white-design-usa-laptop-illustration-with-black-background-free-vector.jpg,TRUE,,
Archer Daniels Midland,"George A. Archer (deceased), John W. Daniels,Juan Luciano","41,181",26,29,https://logos-world.net/wp-content/uploads/2022/05/Archer-Daniels-Midland-Emblem.png,,,
Citigroup,Jane Fraser,"238,104",42,29,https://yt3.googleusercontent.com/5U2IEPX84xgQq6e_rjgczufb4OBJhBJph5r_eZDRzopYOytW5tWE8DcgDV73EXM2yCC0amCS5ns=s900-c-k-c0x00ffffff-no-rj,TRUE,,
CITIC Group,"Rong Yiren, Chang Zhenming","172,761",2,15,https://companieslogo.com/img/orig/0267.HK.D-eddfaefe.png?t=1721149814,TRUE,,
UPS,"James E. Casey, Carol Tomé (CEO)","404,700",-4,29,https://static-00.iconduck.com/assets.00/ups-icon-1721x2048-t5u87sx1.png,,,
Pfizer,"Charles Pfizer, Charles Erhart, Albert Bourla","83,000",35,29,https://cdn-icons-png.freepik.com/512/5968/5968197.png,,,
DHL Group,"Adrian Dalsey, Larry Hillblom, Robert Lynn, Tobias Meyer","554,975",-4,29,https://www.dhlexpress.nl/sites/default/files/styles/grid_image_1x/public/content/images/dhl-group-logo-black.png?itok=TXpr2HcV,,,
Banco Santander,José Antonio Alvarez,"204,300",42,29,https://companieslogo.com/img/orig/BSBR.D-85af4ee5.png?t=1720244491,TRUE,,
PowerChina,Ding Yanzhang,"182,424",-5,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkj-DyROuyeavQM6N03JQZHDdbhPnoFgZA3A&s,,,
Nestlé,"Henry Nestlé (deceased), Ulf Mark Schneider","275,000",-3,29,https://1000logos.net/wp-content/uploads/2017/03/Nestle-Logo-2015.png,,,
Life Insurance Corp. of India,"Bipin Das Gupta, Siddharth Mohanty","104,036",-9,2,https://swarajya.gumlet.io/swarajya/2016-02/a724c251-2dcb-4551-8f91-67febd668650/LIC_Logo-18.jpg,TRUE,,
Lowe’s,"Lucius Smith Lowe (deceased), Marvin Ellison","244,500",-7,26,https://i.pinimg.com/originals/2c/01/84/2c01841e75363cbc21eddf7e6279608c.png,,,
NTT (Nippon Telegraph & Telephone),Akira Shimada,"338,651",-26,29,https://companieslogo.com/img/orig/9432.T.D-06a9bf39.png?t=1720244493,TRUE,,
PTT,Auttapol Rerkpiboon,"30,628",67,20,https://companieslogo.com/img/orig/PTTGC.BK.D-11996b53.png?t=1720244493,TRUE,,
Huawei Investment & Holding,"Ren Zhengfei, Ren Zhengfei","207,000",-15,14,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Huawei_Standard_logo.svg/640px-Huawei_Standard_logo.svg.png,,,
Johnson & Johnson,"Robert Wood Johnson I, James Wood Johnson (deceased), Joaquin Duato","152,700",-5,23,https://cdn-icons-png.freepik.com/512/5968/5968270.png,,,
Sinopharm,Wei Yulin,"201,508",-33,11,https://www.drugdiscoverytrends.com/wp-content/uploads/2021/05/Sinopharm-300x210.png,,,
FedEx,"Frederick W. Smith, Frederick W. Smith","518,249",15,29,https://cdn.freebiesupply.com/logos/large/2x/fedex-logo-black-and-white.png,,,
COSCO Shipping,Xu Lirong,"107,793",12,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQyqG8mQ3Epj0N_rgbqsx2JHbD5X3IEdaoEA&s,TRUE,,
Humana,"Wendell Cherry, Bruce D. Broussard","67,100",16,25,https://cdn.freebiesupply.com/logos/thumbs/2x/humana-2-logo.png,,,
Brookfield,"William Mackenzie, Frederick Stark Pearson, Bruce Flatt","202,500",41,7,https://content.influencemap.org//site/data/001/362/1362308.png,,,
Bosch,"Robert Bosch (deceased), Stefan Hartung","421,338",-10,29,https://static-00.iconduck.com/assets.00/bosch-icon-2048x2048-se8sykum.png,,,
BASF,"Friedrich Engelhorn, Martin Brudermüller","111,481",-10,29,https://logos-world.net/wp-content/uploads/2022/06/BASF-Logo.png,,,
People’s Insurance Co. of China,Ting Ke Wang,"177,852",-10,14,https://upload.wikimedia.org/wikipedia/commons/e/eb/Picc.gif?20080207092057,,,
Royal Ahold Delhaize,"Albert Heijn (deceased), Frans Muller","249,000",-6,29,https://cdn.freebiesupply.com/logos/large/2x/ahold-logo-black-and-white.png,,,
ENEOS Holdings,Tomohide Miyata,"44,617",18,29,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSOFoQ-3EsUq60fyhvonVgLTWl7w3wbC8zKxAYpzgCn7MMVdXEm,,,
Hengli Group,Fan Hongwei,"170,125",-48,7,https://media.licdn.com/dms/image/C560BAQGR5p6yLeN5cg/company-logo_200_200/0/1630640081592/hengli_group_logo?e=2147483647&v=beta&t=lgHJXOkefbDnZ5e97E22PRO2sZj4wXHrD4MzFINgkXE,,,
Amer International Group,"Wang Wenyin, Wang Wenyin","23,175",-48,11,https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/ef3ea0129202165.61661a3460bc5.png,,,
Carrefour,"Marcel Fournier (deceased), Denis Defforey (deceased), Jacques Defforey (deceased), Alexandre Bompard","334,640",-6,29,https://static.wikia.nocookie.net/logopedia/images/2/22/Carrefour_%28Monochrome%29.svg/revision/latest?cb=20171119060220,,,
Energy Transfer,"Kelcy Warren, Thomas E Long","12,565",58,10,https://companieslogo.com/img/orig/ET-fc8e1346.png?t=1720244491,,,
BNP Paribas,Jean-Laurent Bonnafé,"193,122",-4,29,https://play-lh.googleusercontent.com/98HprxE8ZNgB_TAJtw3CiacyPDUtDcUCaWziAKsN4zl-NPAV6IAycF8W8kqFDB-aGCg=w240-h480-rw,,,
State Farm Insurance,"George J. Mecherle (deceased), Michael Tipsord","60,519",7,29,https://www.svgrepo.com/show/519453/state-farm.svg,,,
Seven & I Holdings,Ryuichi Isaka,"125,701",18,18,https://download.logo.wine/logo/Seven_%26_I_Holdings_Co./Seven_%26_I_Holdings_Co.-Logo.wine.png,,,
HSBC Holdings,"Thomas Sutherland (deceased), Noel Quinn","219,199",19,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUEkvT-VqPvYu2D7b5pgkLIRcWXgmpyZ8w6pVB7GvLpMaJ0dmpCij_6XE5gtQsgPkypZc&usqp=CAU,,,
China FAW Group,Qiu Xiandong,"119,487",-52,19,https://1000logos.net/wp-content/uploads/2021/02/FAW-Logo-500x281.png,,,
China Telecommunications,Ke Ruiwen,"392,726",-1,24,https://cdn.iconscout.com/icon/free/png-256/free-china-telecommunications-corporation-2270648-1891175.png?f=webp&w=256,,,
Freddie Mac,Michael DeVito,"7,819",58,27,https://o.quizlet.com/x-atT.0zg0VM.NHtrSKg0A.png,,,
Crédit Agricole,"Alfred Bouvet(deceased), Louis Milcent(deceased), Philippe Brassac","72,758",-50,29,https://cdn.prod.website-files.com/56cf02e3183bcaa02f35e349/64ad34ea2ca618712b5b5539_Credit_Agricole_Logo.png,,,
PepsiCo,"Caleb Bradham (deceased), Ramon Laguarta","315,000",8,29,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ6p0l1S027s9iaRADrutouTAgcm4BG-ekd0aOfBr0ca8bpxiU7,,,
Zhejiang Rongsheng Holding Group,"Li Shuirong, Li Shuirong","23,316",44,3,https://s3-symbol-logo.tradingview.com/rongsheng-petro-ch--600.png,,,
Assicurazioni Generali,"Giuseppe Lazzaro Morpurgo, Philippe Donnet","82,061",-65,29,https://uspto.report/TM/74250553/mark.png,,,
Wuchan Zhongda Group,Min Hua Luo,"24,247",-18,13,https://www.zmi.cn/en/bocweb/m/img/logo.png,TRUE,,
Petronas,Fida Aziz,"49,771",77,27,https://companieslogo.com/img/orig/5183.KL.D-48d659b0.png?t=1720244490,TRUE,,
Sony,"Masaru Ibuka (deceased), Akio Morita (deceased), Kenichiro Yoshida","112,994",-24,29,https://1000logos.net/wp-content/uploads/2021/05/Sony-logo.png,,,
Pertamina,"Ibnu Sutowo,Nicke Widyawati","33,596",82,10,https://www.kibrispdr.org/download?file=https://s3.eu-west-2.wasabisys.com/cdn.kibrispdr.org/data/761/logo-pertamina-hitam-putih-kecil-9.jpg,,,
XMXYG,Zhang Shuili,"15,364",18,6,https://pic.597.com/logo/2017/08/14/17081408321775880.jpg,,,
Christian Dior,"Christian Dior (deceased),Delphine Arnault","180,597",13,23,https://cdn.shopify.com/s/files/1/0388/3771/4989/files/DIOR_EMBLEM_77c9288a-39d8-4f8c-8bb2-54eca167a011_480x480.png?v=1653484092,,,
Wells Fargo,"Henry Wells (deceased), William Fargo (deceased), Charles W. Scharf","238,000",-10,26,https://cdn.freebiesupply.com/logos/large/2x/wells-fargo-logo-black-and-white.png,,,
Walt Disney,"Walt Disney (deceased), Roy O. Disney (deceased), Robert Iger","195,800",38,29,https://www.cynopsis.com/wp-content/uploads/2018/02/disney-logo.png,,,
China North Industries Group,Liu Shiquan,"216,339",-10,14,https://static.wikia.nocookie.net/firearmcentral/images/b/bc/CNGC.svg/revision/latest/thumbnail/width/360/height/360?cb=20220314113000,,,
Tencent Holdings,"Ma Huateng, Ma Huateng","108,436",-26,7,https://cdn.icon-icons.com/icons2/2699/PNG/512/tencent_logo_icon_169619.png,,,
Japan Post Holdings,Hiroya Masuda,"227,369",-54,27,https://seeklogo.com/images/J/japan-post-holdings-logo-A997CD7DDE-seeklogo.com.png,,,
ConocoPhillips,"L.E. Phillips, Isaac E. Blake, Ryan Lance","9,500",135,28,https://seeklogo.com/images/C/ConocoPhillips-logo-FF655041D1-seeklogo.com.png,,,
Aviation Industry Corp. of China,Tan Ruisong,"383,000",-6,15,https://upload.wikimedia.org/wikipedia/fr/thumb/7/70/Aviation_Industry_Corporation_of_China_%28logo%29.png/240px-Aviation_Industry_Corporation_of_China_%28logo%29.png,,,
Maersk Group,"Arnold Peter Møller (deceased), A.P. Moller","104,260",55,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6Z8TNpeZBPTFvDEk0C4PXwkd7lykLCGhZhH_ZBRbZEh8CCvwpSRD--6KLVYEPo1KNQzY&usqp=CAU,,,
Tesla,"Elon Musk,Elon Musk","127,855",90,3,https://pngimg.com/d/tesla_logo_PNG16.png,,,
Hitachi,"Namihei Odaira (deceased), Keiji Kojima","322,525",-40,29,https://uspto.report/TM/90808407/mark.png,,,
Procter & Gamble,"William Procter (deceased), James Gamble (deceased), Jon R. Moeller","106,000",–,29,https://images.ctfassets.net/oggad6svuzkv/7JeoBwQ2yw5ZzRaDmSJTe4/62dd073f2d6886870860e823ea4118bd/P_G_Logo_Profile_on_White.png,,,
ArcelorMittal,"Lakshmi Mittal,Aditya Mittal","154,352",-2,19,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/0f/ArcelorMittal_Bremen_logo.svg/2560px-ArcelorMittal_Bremen_logo.svg.png?ssl=1,,,
Tesco,"Jack Cohen (deceased), Ken Murphy","222,306",-30,29,https://www.annabelkarmel.com/wp-content/uploads/2024/01/tesco-logo-black-and-white.png,,,
Pacific Construction Group,Yan Jiehe,"301,565",-7,10,https://pcgoc.com/wp-content/uploads/2023/08/Untitled-design-5-e1692233399126.png,,,
Oil & Natural Gas,Arun Kumar Singh,"37,047",32,17,https://logodix.com/logo/1686770.png,,,
